ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Media_ID,Part_Of_Speech,Original_Translation,Text_ID,Sentence_Number,Phrase_Number,Speaker_ID
conv1stenc-28,yab,"wëjkaja, ana tëse neke ne",wëjka-ja	ana	të-se	neke	ne,fall-NEG	1+3PRO	go-PST	CNTR	***,"no nos caimos, nosotros nos fuimos (auto)",,,,?	?	?	?	?,"no nos caimos, nosotros nos fuimos",conv1stenc,28,,grme
conv1stenc-109,yab,yajtëpe neke n ti warotakontomo wejsapë,yajtëpe	neke=n	ti	warota-∅=kontomo	wej-sapë,before	CNTR=INTS	HSY	work-IPFV=PL	COP-PST,At the beginning they worked.,,,,?	?	?	?	?,al principio trabajaban,conv1stenc,109,,grme
conv1stenc-123,yab,wurijyantomo rë wejsapë ijtë,wurijyan-tomo	rë	wej-sapë	ijtë,woman-PL	EMP	COP-PST	there,There were only women there.,,,,?	?	?	?,hay había puras mujeres no más,conv1stenc,123,,grme
convsuenmaj-17,yab,tainiri,ta-ini-ri,3P-see-IPFV,He saw it.,,He saw what?,convsuenmaj-17,?,lo vio,convsuenmaj,17,,irdi
convamgu-5,yab,"chayi, muku tase ta makë pano ya",chayi	muku	ta-se	ta	makë	pano	ya,***	child	say-PST	like	mom	FMR	ERG,"sons, daughters, said my late mother (auto)",,,,?	?	?	?	?	?	?,"hijos, hijas, dijo la finada mi mamá",convamgu,5,,amgu
convamgu-7,yab,tototomo pata yaka mëtëja,toto-tomo	pata-∅	yaka	më=të-ja,non_Indian-PL	village-PERT	ALL	2=go-NEG,you can't (can't) go to the creoles' village (auto),,,,?	?	?	?,tu no (puedes) ir al pueblo de los criollos,convamgu,7,,amgu
convamgu-48,yab,asanë tanëmëse mërë nono mokontomo warotatojpe,a-sanë-∅	ta-nëmë-se	mërë	nono-∅	mokontomo	warota-tojpe,2-mother-PERT	3P-leave-PST	2PRO	earth-PERT	2PL.PRO	work-PURP,Your mother left your land for you to work on.,,,,?	?	?	?	?	?,tu mamá dejo esa tierra para que ustedes trabajen,convamgu,48,,elpe
convamgu-143,yab,mërë ma ejnë waimu yaye mëwaimuru,mërë	ma	ejnë	waimu-∅	yaye	më=waimu-ru,2PRO	RST	1+2PRO	language-PERT	LOC	2=speak-IPFV,Only your speak in our language.,,,,?	?	?	?	?	?,tú eres la única que habla nuestro idioma,convamgu,143,,elpe
convamgu-199,yab,tëwï wïrë inija,tëwï	wïrë	ini-ja,3PRO	1PRO	see-NEG,I didn't see that.,,,,?	?	?,eso no lo ví,convamgu,199,,amgu
convamgu-246,yab,mëinta yaka,më=in-ta	yaka,2=see-MOTIMP	ALL,inside your mouth (auto),,,,?	?,dentro de tu boca,convamgu,246,,elpe
convhistfamsjm-13,yab,tëwï ma takï mëyakarama chijpë wararë kwa ta sënkatoj mëtë,tëwï	ma	takï	mëyakarama	chi-jpë	wara=rë	kwa	ta	sënka-toj	mëtë,3PRO	RST	CNFRM	?	COP-PST.ACNNMLZ	thus=EMP	how	like	finish-CIRC.NMLZ	?,tell us again how they ended up there (auto),,,convhistfamsjm-13,?	?	?	?	?	?	?	?	?	?,cuenta otra vez como terminaron ahí,convhistfamsjm,13,,pape
convhistfamsjm-15,yab,kwase mëëmpamïjpë ejnë waimu yaye,kwase	mëëmpamïjpë	ejnë	waimu-∅	yaye,how	?	1+2PRO	language-PERT	LOC,how you learned our language (auto),,,convhistfamsjm-15,?	?	?	?	?,como aprendiste nuestro idioma,convhistfamsjm,15,,pape
convhistfamsjm-235,yab,tayakaramaja,ta-yakarama-ja,3P-tell-NEG,They didn't tell it.,,,convhistfamsjm-235,?,no lo contaba,convhistfamsjm,235,,pape
convhistfamsjm-238,yab,"irëjpë, kwaraijyawë rë mëëmpamïjpë tajto marë ti?",irëjpë	kwaraijyawë	rë	mëëmpamïjpë	tajto	marë	ti,then	***	EMP	?	***	REL.INAN	HSY,"Afterwards, when did you learn what you say? (auto)",,,convhistfamsjm-238,?	?	?	?	?	?	?,"después, cuando aprediste lo que dices?",convhistfamsjm,238,,pape
convhistfamsjm-244,yab,toto waimu yayejra,toto	waimu-∅	yaye=jra,non_Indian	language-PERT	LOC=NEG,not in Spanish (auto),,,convhistfamsjm-244,?	?	?,no en castellano,convhistfamsjm,244,,mafl
ctowaru-52,yab,tapëri,t-apë-ri,3-arm_wing-PERT,Her arm?,,,ctowaru-52,?,¿su brazo?,ctowaru,52,,pape
ctorosq-109,yab,tëjrama sejkë upëkëpene wïrë tëri,të-jrama	sejkë	u=pëkëpene	wïrë	tëri,go-PROH	?	1=alone	1PRO	?,"don't go, I will go alone (auto)",,,,?	?	?	?	?,"no vayan a ir, voy a ir sola",ctorosq,109,,irdi
ctorat-6,yab,wïnïjse,wïnïj-se,sleep-PST,He slept.,,I hear [u] for /wï/,ctorat-6,?,durmió,ctorat,6,,anfo
ctorat-16,yab,irëjpë tëwï waijtatomo nwajtëri,irëjpë	tëwï	waijta-tomo	nwajtë-ri,then	3PRO	mouse-PL	dance-IPFV,Then the mice were dancing.,,,ctorat-16,?	?	?	?,después las ratas estaban bailando,ctorat,16,,anfo
ctorat-19,yab,pïrarë ti iwenaru wejsapë,pïrarë	ti	i-wena-ru	wej-sapë,NEG.EXIST	HSY	3-vomit-PERT	COP-PST,their vomit was not there.,,,ctorat-19,?	?	?	?,no había su vómito,ctorat,19,,anfo
ctorat-23,yab,"aaa usukuru morone ta, wïrë usujta ta ne",aaa	u=suku-ru	morone	ta	wïrë	u=sujta-∅	ta	ne,ah	1=urine-PERT	hurting	like	1PRO	1=urinate-IPFV	like	***,"My urine hurts, I will urinate.",,,ctorat-23,?	?	?	?	?	?	?	?,"me duele mis orines, voy a orinar",ctorat,23,,anfo
ctorat-25,yab,irëjpë ta ti ta konopo wejsarë konopo wejsarë,irëjpë	ta-∅	ti	ta	konopo	wej-sarë	konopo	wej-sarë,then	say-IPFV	HSY	like	rain	come-IMN	rain	come-IMN,"Then they said: “it’s raining, it’s raining”.",,,ctorat-25,?	?	?	?	?	?	?	?,"después dijo, está lloviendo, está lloviendo!",ctorat,25,,anfo
ctorat-30,yab,tipasekontomo warë irëjpë pïrarë,tipa-se=kontomo	wa=rë	irëjpë	pïrarë,go_in_group-PST=PL	thus=EMP	then	NEG.EXIST,They left and were gone.,,focus intonation on pïrarë,ctorat-30,?	?	?	?,se fueron y después no estaban,ctorat,30,,anfo
ctorat-40,yab,tipapëjsejne waijtajne,tipa-pëj-se=jne	waijta=jne,go_in_group-PLUR-PST=PL	mouse=PL,The mice went away.,,,ctorat-40,?	?,las ratas se fueron,ctorat,40,,anfo
ctorat-45,yab,waraijtokon maniki irëjpë ijtëse,waraijtokon	maniki	irëjpë	ij-të-se,man	REL.ANIM	then	3-go-PST,Then the man went.,,Mismatch of audio & transcription.,ctorat-45,?	?	?	?,después se fue,ctorat,45,,anfo
ctorat-46,yab,tïwïj yaka waraijtokomo manikijpë,t-ïwïj-∅	yaka	waraijtokomo	manikijpë,3-house-PERT	ALL	man	***,The man went to his house.,,,ctorat-46,?	?	?	?,se fue el hombre para su casa (porque ya amaneció),ctorat,46,,anfo
ctovarmafl-36,yab,"aaa, ijtarijra ta",aaa	i-jta-ri=jra	ta,ah	3-foot-PERT=NEG	like,"ah, without his legs (auto)",,,ctovarmafl-36,?	?	?,"ah, sin sus piernas",ctovarmafl,36,,anfo
ctovarmafl-283,yab,"tëwï ke ma mëyepema wïrë ya, ta ti ta",tëwï	ke	ma	më=yepema-∅	wïrë	ya	ta-∅	ti	ta,3PRO	INS	RST	2=pay-IPFV	1PRO	ERG	say-IPFV	HSY	like,"I'll pay you with this,"" he said (auto)",,,ctovarmafl-283,?	?	?	?	?	?	?	?	?,"te pago con esto no más, dijo",ctovarmafl,283,,mafl
ctovarmafl-324,yab,michi ma mëyapëjjrama,michi	ma	më=yapëj-jrama,MED.ANIM	RST	2=grab-PROH,do not touch this (auto),,,ctovarmafl-324,?	?	?,esto no lo toques,ctovarmafl,324,,mafl
ctovarmafl-443,yab,¿ mëpana ma tataja wejsapë?,më=pana	ma	ta-ta-ja	wej-sapë,2=DAT	RST	3P-say-NEG	COP-PST,Didn't he say it directly to you?,,,ctovarmafl-443,?	?	?	?,¿no te lo dijo directamente a tí?,ctovarmafl,443,,anfo
ctotawirdi-150,yab,¿ epesekontomo?,epe-se=kontomo,escape-PST=PL,Did they escape?,,,,?,!¿se escaparon?,ctotawirdi,150,,elpe
histpajirdi-17,yab,mëwë wïrë ya,më=wë-∅	wïrë	ya,2=kill-IPFV	1PRO	ERG,I will kill you.,,,histpajirdi-17,?	?	?,te voy a matar,histpajirdi,17,,irdi
histpajirdi-107,yab,yakaramaja,yakarama-ja,tell-NEG,They didn't tell.,,,histpajirdi-107,?,no contaron,histpajirdi,107,,irdi
histpajirdi-114,yab,mëtojpa wïrë,më=tojpa-∅	wïrë,2=hit-IPFV	1PRO,I will beat you to death.,,,histpajirdi-114,?	?,te voy a matar a golpes,histpajirdi,114,,irdi
histpajirdi-131,yab,tajne nankase takerejtomo ya,ta-jne	nanka-se	t-akere-j-tomo	ya,3-PL	find-PST	3-relative-PERT-PL	ERG,His relatives found him.,,,histpajirdi-131,?	?	?	?,sus familiares lo encontraron,histpajirdi,131,,irdi
histpajirdi-186,yab,"tichikimuru, peti warë patakasapë Yakucho pana",tichikimuru	peti	wa=rë	pataka-sapë	yakucho	pana,***	leg	thus=EMP	take_out-PFV	P._A.	DAT,"his knee, his leg, went out (sore) towards Ayacucho (auto)",,,histpajirdi-186,?	?	?	?	?	?,"su rodilla, su pierna, salió (llaga) hacia Ayacucho",histpajirdi,186,,irdi
histpajirdi-237,yab,"aaa, mëyakerej sëmase, ¡ aj %¡ inche utërijra",aaa	më=y-akere-j	sëmase	aj	inche	utërijra,ah	2=LK-relative-PERT	?	***	?	***,"ah, your family is dead, ah! I will not see (auto)",,,,?	?	?	?	?	?,"ah, tu familia se murió, aj! no voy a ver",histpajirdi,237,,irdi
histpajirdi-270,yab,"ë'ë, mëyakereti",ë'ë	më=y-akere-ti,***	2=LK-relative-PERT,"Yes, your family.",,,histpajirdi-270,?	?,"sí, tu familia",histpajirdi,270,,irdi
histyarirdi-34,yab,¿ ësëpëkë ka wejsapëkontomo?,ësëpëkë	ka	wej-sapë=kontomo,***	Q	COP-PST=PL,Were they always argumenting?,,,histyarirdi-34,?	?	?,¿siempre ellos vivian discutiendo?,histyarirdi,34,,elpe
histyarirdi-66,yab,"¿ irëjpë, wepïjpëkontomo?",irëjpë	wepï-jpë=kontomo,then	come-PST=PL,Then they came?,,,histyarirdi-66,?	?,¿después vinieron?,histyarirdi,66,,elpe
histyarirdi-124,yab,kukurujra tëwï,kuku-ru=jra	tëwï,answer-IPFV=NEG	3PRO,do not imitate (auto),,,histyarirdi-124,?	?,no remedan,histyarirdi,124,,irdi
histyarirdi-160,yab,weroro wëra këyetari mëmukuru,weroro	wëra	këyeta-ri	më=muku-ru,dog	like	grow-IPFV	2=child-PERT,Your children grow up like dogs.,,,histyarirdi-160,?	?	?	?,tus hijos crecen como perro,histyarirdi,160,,irdi
histyarirdi-186,yab,tëwïsantomo wïrë wejyatë këyetajpëjra,tëwïsantomo	wïrë	wejyatë	këyeta-jpë=jra,3PRO.PL	1PRO	***	grow-PST=NEG,they did not grow up with me (auto),,,histyarirdi-186,?	?	?	?,ellos no se criaron junto conmigo,histyarirdi,186,,irdi
histyarirdi-437,yab,"marë wïrë sëmpinukuja rë wejtane mokontomo unono, wïrë nono yenekapëkë pako",marë	wïrë	sëmpinuku-ja	rë	wej-tane	mokontomo	u=nono-∅	wïrë	nono-∅	yenekapëkë	pako,still	1PRO	close_eyes-NEG	EMP	COP-CNCS	2PL.PRO	1=earth-PERT	1PRO	earth-PERT	***	***,"Though I haven't closed my eyes yet, you are already taking my land from me.",,,histyarirdi-437,?	?	?	?	?	?	?	?	?	?	?,todavía no cerré los ojos y ustedes me están quitando mi tierra ,histyarirdi,437,,irdi
histyarirdi-539,yab,chimakontomo,chima=kontomo,path=PL,their path,,,histyarirdi-539,?,el camino de ellos,histyarirdi,539,,irdi
histyarirdi-559,yab,"irë wa chipëkë tapojtëja wejsapë, irë wa chipëkë tajne wëpëjse tëwï, sukase wïnïjsajkonton yawë",irë	wa	chipëkë	ta-pojtë-ja	wej-sapë	irë	wa	chipëkë	ta-jne	wë-pëj-se	tëwï	sukase	wïnïj-saj=konton	yawë,3ANA.INAN	thus	because	3P-want-NEG	COP-PST	3ANA.INAN	thus	because	3-PL	kill-PLUR-PST	3PRO	all	sleep-PFV=PL	LOC,"That's why I didn't want it, that's why they killed them all when they were asleep.",,,histyarirdi-559,?	?	?	?	?	?	?	?	?	?	?	?	?	?,"por eso no lo quería, por eso ellos los mataron a todos mientras dormían",histyarirdi,559,,irdi
histyarirdi-592,yab,"pata penarëjpë mëtë ta, mërë Cerro Muñeca tajtoj mare toto ya",pata	penarëjpë	mëtë	ta	mërë	cerro	muñeca	taj-toj	mare	toto	ya,village	***	?	like	MED.INAN	***	***	say-CIRC.NMLZ	still	non_Indian	ERG,"here you can see the place where they lived, where the criollos call Cerro Muñeca (auto)",,,histyarirdi-592,?	?	?	?	?	?	?	?	?	?	?,"ahí se ve el sitio donde vivian, donde los criollos llama Cerro Muñeca",histyarirdi,592,,irdi
histyarirdi-615,yab,wïrë inija tëwï,wïrë	ini-ja	tëwï,1PRO	see-NEG	3PRO,I did not see that (auto),,,histyarirdi-615,?	?	?,yo no ví eso,histyarirdi,615,,irdi
histyarirdi-633,yab,"mëinija ka, aniki pinchi, tënësem warai yichapë, okonotojpe",më=ini-ja	ka	aniki	pinchi	tënësem	warai	yichapë	okonotojpe,2=see-NEG	Q	who	HES	***	like	***	***,you have not seen a fish that is put on to dry (auto),,,histyarirdi-633,?	?	?	?	?	?	?	?,"usted no ha visto un pescado que se pone, para que se seque",histyarirdi,633,,irdi
histyarirdi-723,yab,irë nwa chipëkë usamori uyïpï incharë,irë	nwa	chipëkë	u=samo-ri	u=yïpï-∅	in-charë,3ANA.INAN	thus	because	1=cry-IPFV	1=mountain-PERT	see-IMN,That's why I'm crying seeing my hills.,,The last word is actually insarë.,histyarirdi-723,?	?	?	?	?	?,por eso yo estoy llorando viendo mis cerros,histyarirdi,723,,irdi
histyarirdi-875,yab,uyepematojpe pïrarë wïrë inawë,uyepematojpe	pïrarë	wïrë	inawë,?	NEG.EXIST	1PRO	have,I can't afford to pay (auto),,,histyarirdi-875,?	?	?	?,yo no tengo para pagar,histyarirdi,875,,elpe
histyarirdi-893,yab,"¡ këë %¡ uyejwetunu, ¡ këë %¡ wïrë waijtëri, ¡ këë %¡ uyapëri, wïrë poreri, wïrë chikimuru",këë	uyejwetunu	këë	wïrë	waijtë-ri	këë	u=y-apë-ri	wïrë	poreri	wïrë	chikimuru,***	***	***	1PRO	head-PERT	***	1=LK-arm_wing-PERT	1PRO	***	1PRO	***,"alas, I'm sick, alas, my head, alas, my arm, my leg, my knee. (auto)",,,,?	?	?	?	?	?	?	?	?	?	?,"ay! estoy enferma, ay! mi cabeza, ay! mi brazo, mi pierna, mi rodilla",histyarirdi,893,,irdi
histyarirdi-894,yab,"nwarë mëtëpëtiri, tëpëtijra sejkë",nwa=rë	më=tëpëti-ri	tëpëti-∅=jra	sejkë,thus=EMP	2=go(PLUR)-IPFV	go(PLUR)-IPFV=NEG	be.IMP,"you're going to go like this, you can't go like this (auto)",,,histyarirdi-894,?	?	?	?,"así tu te vas a ir, no puedes ir así",histyarirdi,894,,irdi
histyarirdi-932,yab,ejnë waimu wintikasarë ta rë,ejnë	waimu-∅	wintika-sarë	ta	rë,1+2PRO	language-PERT	disappear-IMN	like	EMP,Our language is disappearing.,,,histyarirdi-932,?	?	?	?	?,nuestra lengua se está desapareciendo,histyarirdi,932,,irdi
histyarirdi-939,yab,"ejwintikatojpano, moneka",ej=wintika-tojpano	moneka,1+2=disappear-FUT.CONCL	girl.VOC,"We will be finished, daughter.",,,histyarirdi-939,?	?,"nosotros nos vamos a acabar, hija",histyarirdi,939,,irdi
histyarirdi-944,yab,"wïrë najpïtomojne, wurijyantomojne sënka wara rë",wïrë	najpï-∅-tomo=jne	wurijyan-tomo=jne	sënka-∅	wara	rë,1PRO	grandfather-PERT-PL=PL	woman-PL=PL	finish-ACNNMLZ	thus	EMP,"My grandfathers, the women disappeared.",,to do: are these -tomo lexicalized?,histyarirdi-944,?	?	?	?	?	?,"como desaparecen mis abuelos, las mujeres",histyarirdi,944,,irdi
histtiggrme-28,yab,epese,epe-se,escape-PST,They got away.,,,,?,se fueron,histtiggrme,28,,grme
